No.;Time;;;
146;13.890.595;13,890595;13,906582;0,015987
147;13.906.582;13,906582;13,908643;0,002061
148;13.908.643;13,908643;13,908643;0
149;13.908.643;13,908643;13,909175;0,000532
150;13.909.175;13,909175;13,909302;0,000127
151;13.909.302;13,909302;13,914555;0,005253
152;13.914.555;13,914555;13,914933;0,000378
153;13.914.933;13,914933;13,925955;0,011022
154;13.925.955;13,925955;13,9262;0,000245
155;13.926.200;13,9262;13,928531;0,002331
156;13.928.531;13,928531;13,932478;0,003947
157;13.932.478;13,932478;13,932478;0
158;13.932.478;13,932478;13,932478;0
159;13.932.478;13,932478;13,932885;0,000407
160;13.932.885;13,932885;13,932885;0
161;13.932.885;13,932885;13,93302;0,000135
162;13.933.020;13,93302;13,934154;0,001134
163;13.934.154;13,934154;13,934154;0
164;13.934.154;13,934154;13,934154;0
165;13.934.154;13,934154;13,934154;0
166;13.934.154;13,934154;13,934154;0
167;13.934.154;13,934154;13,934154;0
168;13.934.154;13,934154;13,934154;0
169;13.934.154;13,934154;13,934421;0,000267
170;13.934.421;13,934421;13,934498;7,7E-05
171;13.934.498;13,934498;13,94342;0,008922
172;13.943.420;13,94342;13,94342;0
173;13.943.420;13,94342;13,94342;0
174;13.943.420;13,94342;13,943672;0,000252
175;13.943.672;13,943672;13,946882;0,00321
176;13.946.882;13,946882;13,946882;0
177;13.946.882;13,946882;13,946882;0
178;13.946.882;13,946882;13,947157;0,000275
179;13.947.157;13,947157;13,9571;0,009943
180;13.957.100;13,9571;13,960578;0,003478
181;13.960.578;13,960578;13,963286;0,002708
182;13.963.286;13,963286;13,963286;0
183;13.963.286;13,963286;13,963377;9,1E-05
184;13.963.377;13,963377;13,963469;9,2E-05
185;13.963.469;13,963469;13,963625;0,000156
186;13.963.625;13,963625;13,963625;0
187;13.963.625;13,963625;13,966315;0,00269
188;13.966.315;13,966315;13,983179;0,016864
189;13.983.179;13,983179;13,983179;0
190;13.983.179;13,983179;13,984593;0,001414
191;13.984.593;13,984593;13,984593;0
192;13.984.593;13,984593;13,984593;0
193;13.984.593;13,984593;13,984815;0,000222
194;13.984.815;13,984815;13,988249;0,003434
195;13.988.249;13,988249;14,003014;0,014765
196;14.003.014;14,003014;14,013442;0,010428
197;14.013.442;14,013442;14,032074;0,018632
198;14.032.074;14,032074;14,032885;0,000811
199;14.032.885;14,032885;14,0484;0,015515
200;14.048.400;14,0484;14,07306;0,02466
201;14.073.060;14,07306;14,07306;0
202;14.073.060;14,07306;14,07306;0
203;14.073.060;14,07306;14,073316;0,000256
204;14.073.316;14,073316;14,079115;0,005799
205;14.079.115;14,079115;14,079115;0
206;14.079.115;14,079115;14,079115;0
207;14.079.115;14,079115;14,079364;0,000249
208;14.079.364;14,079364;14,079582;0,000218
209;14.079.582;14,079582;14,079582;0
210;14.079.582;14,079582;14,079678;9,6E-05
211;14.079.678;14,079678;14,080624;0,000946
212;14.080.624;14,080624;14,080624;0
213;14.080.624;14,080624;14,080785;0,000161
214;14.080.785;14,080785;14,081111;0,000326
215;14.081.111;14,081111;14,081111;0
216;14.081.111;14,081111;14,081209;9,8E-05
217;14.081.209;14,081209;14,082193;0,000984
218;14.082.193;14,082193;14,082193;0
219;14.082.193;14,082193;14,082325;0,000132
220;14.082.325;14,082325;14,083198;0,000873
221;14.083.198;14,083198;14,083198;0
222;14.083.198;14,083198;14,083345;0,000147
223;14.083.345;14,083345;14,084427;0,001082
224;14.084.427;14,084427;14,084427;0
225;14.084.427;14,084427;14,084575;0,000148
226;14.084.575;14,084575;14,090327;0,005752
227;14.090.327;14,090327;14,090327;0
228;14.090.327;14,090327;14,090327;0
229;14.090.327;14,090327;14,090588;0,000261
230;14.090.588;14,090588;14,09104;0,000452
231;14.091.040;14,09104;14,09104;0
232;14.091.040;14,09104;14,091146;0,000106
233;14.091.146;14,091146;14,103318;0,012172
234;14.103.318;14,103318;14,103318;0
235;14.103.318;14,103318;14,103318;0
236;14.103.318;14,103318;14,103572;0,000254
237;14.103.572;14,103572;14,110222;0,00665
238;14.110.222;14,110222;14,164689;0,054467
239;14.164.689;14,164689;14,164689;0
240;14.164.689;14,164689;14,164689;0
241;14.164.689;14,164689;14,164961;0,000272
242;14.164.961;14,164961;14,167003;0,002042
243;14.167.003;14,167003;14,167003;0
244;14.167.003;14,167003;14,167003;0
245;14.167.003;14,167003;14,167003;0
246;14.167.003;14,167003;14,167393;0,00039
247;14.167.393;14,167393;14,169528;0,002135
248;14.169.528;14,169528;14,169528;0
249;14.169.528;14,169528;14,169528;0
250;14.169.528;14,169528;14,169738;0,00021
251;14.169.738;14,169738;14,171219;0,001481
252;14.171.219;14,171219;14,171219;0
253;14.171.219;14,171219;14,171219;0
254;14.171.219;14,171219;14,171413;0,000194
255;14.171.413;14,171413;14,17182;0,000407
256;14.171.820;14,17182;14,17182;0
257;14.171.820;14,17182;14,17182;0
258;14.171.820;14,17182;14,17182;0
259;14.171.820;14,17182;14,17182;0
260;14.171.820;14,17182;14,171996;0,000176
261;14.171.996;14,171996;14,183241;0,011245
262;14.183.241;14,183241;14,238072;0,054831
263;14.238.072;14,238072;14,391726;0,153654
264;14.391.726;14,391726;14,399148;0,007422
265;14.399.148;14,399148;14,423031;0,023883
266;14.423.031;14,423031;14,423031;0
267;14.423.031;14,423031;14,423434;0,000403
268;14.423.434;14,423434;14,429717;0,006283
269;14.429.717;14,429717;14,448697;0,01898
270;14.448.697;14,448697;14,448697;0
271;14.448.697;14,448697;14,448697;0
272;14.448.697;14,448697;14,449167;0,00047
273;14.449.167;14,449167;14,463236;0,014069
274;14.463.236;14,463236;14,463236;0
275;14.463.236;14,463236;14,463466;0,00023
276;14.463.466;14,463466;14,483054;0,019588
277;14.483.054;14,483054;14,483259;0,000205
278;14.483.259;14,483259;14,512993;0,029734
279;14.512.993;14,512993;14,512993;0
280;14.512.993;14,512993;14,513484;0,000491
281;14.513.484;14,513484;14,541332;0,027848
282;14.541.332;14,541332;14,583033;0,041701
283;14.583.033;14,583033;14,631096;0,048063
284;14.631.096;14,631096;14,663199;0,032103
285;14.663.199;14,663199;14,680071;0,016872
286;14.680.071;14,680071;14,713083;0,033012
287;14.713.083;14,713083;14,717446;0,004363
288;14.717.446;14,717446;15,124151;0,406705
289;15.124.151;15,124151;15,422362;0,298211
290;15.422.362;15,422362;15,422736;0,000374
291;15.422.736;15,422736;15,429375;0,006639
292;15.429.375;15,429375;15,4297;0,000325
293;15.429.700;15,4297;15,446489;0,016789
294;15.446.489;15,446489;15,446489;0
295;15.446.489;15,446489;15,450061;0,003572
296;15.450.061;15,450061;15,450201;0,00014
297;15.450.201;15,450201;15,463055;0,012854
298;15.463.055;15,463055;15,463055;0
299;15.463.055;15,463055;15,463634;0,000579
300;15.463.634;15,463634;15,463634;0
301;15.463.634;15,463634;16,130141;0,666507
302;16.130.141;16,130141;16,80192;0,671779
303;16.801.920;16,80192;16,837238;0,035318
304;16.837.238;16,837238;16,837548;0,00031
305;16.837.548;16,837548;16,853003;0,015455
306;16.853.003;16,853003;16,853003;0
307;16.853.003;16,853003;16,856751;0,003748
308;16.856.751;16,856751;16,859614;0,002863
309;16.859.614;16,859614;16,859614;0
310;16.859.614;16,859614;16,872864;0,01325
311;16.872.864;16,872864;16,875394;0,00253
312;16.875.394;16,875394;16,879277;0,003883
313;16.879.277;16,879277;16,894755;0,015478
314;16.894.755;16,894755;16,894994;0,000239
315;16.894.994;16,894994;16,896282;0,001288
316;16.896.282;16,896282;16,914513;0,018231
317;16.914.513;16,914513;16,914513;0
318;16.914.513;16,914513;16,914513;0
319;16.914.513;16,914513;16,914799;0,000286
320;16.914.799;16,914799;16,933095;0,018296
321;16.933.095;16,933095;16,933095;0
322;16.933.095;16,933095;16,933327;0,000232
323;16.933.327;16,933327;16,943139;0,009812
324;16.943.139;16,943139;16,943139;0
325;16.943.139;16,943139;16,946692;0,003553
326;16.946.692;16,946692;16,955751;0,009059
327;16.955.751;16,955751;16,959231;0,00348
328;16.959.231;16,959231;16,979822;0,020591
329;16.979.822;16,979822;16,979822;0
330;16.979.822;16,979822;16,979822;0
331;16.979.822;16,979822;16,979822;0
332;16.979.822;16,979822;16,980337;0,000515
333;16.980.337;16,980337;16,984104;0,003767
334;16.984.104;16,984104;16,991787;0,007683
335;16.991.787;16,991787;16,992889;0,001102
336;16.992.889;16,992889;16,995401;0,002512
337;16.995.401;16,995401;17,032818;0,037417
338;17.032.818;17,032818;17,032818;0
339;17.032.818;17,032818;17,039926;0,007108
340;17.039.926;17,039926;17,039926;0
